Node ID,Title,Year,Category,Course,Media
120,2 letters from Brakhage to Vogel (1 of 4),1957,Avant-Garde Historiography,Historiography,Document
121,2 letters from Brakhage to Vogel (2 of 4),1957,Avant-Garde Historiography,Historiography,Document
122,2 letters from Brakhage to Vogel (3 of 4),1957,Avant-Garde Historiography,Historiography,Document
123,2 letters from Brakhage to Vogel (4 of 4),1957,Avant-Garde Historiography,Historiography,Document
416,A Note From Cinema 16,,,Documentary Tradition,Document
414,Agnes Varda,1950s,,Documentary Tradition,Image
415,Agnes Varda,1950S,,Documentary Tradition,Image
214,Agreement dated Feb 19th  1920 - Joseph Urban v. International Film Services  p. 1,1920,Motion Picture Set Design,Historiography,Document
215,Agreement dated Feb 19th  1920 - Joseph Urban v. International Film Services  p.2,1920,Motion Picture Set Design,Historiography,Document
413,Albert and David Maysles,1968,,Documentary Tradition,Image
366,Albert Maysles Select 1,2005,,,Video
102,Alla Nazimova,1923,Women Film Pioneers,Historiography,Image
104,Alla Nazimova #2,1921,Women Film Pioneers,Historiography,Image
161,Baum. Art of Decorating  p. 109,,Motion Picture Set Design,Historiography,Image
162,Baum. Art of Decorating  p. 267,,Motion Picture Set Design,Historiography,Image
163,Baum. Art of Decorating  p. 273,,Motion Picture Set Design,Historiography,Document
155,Baum. Art of Decorating  p. 82,,Motion Picture Set Design,Historiography,Document
156,Baum. Art of Decorating  p. 83,,Motion Picture Set Design,Historiography,Document
157,Baum. Art of Decorating  p. 96,,Motion Picture Set Design,Historiography,Image
159,Baum. Art of Decorating  p. 97,,Motion Picture Set Design,Historiography,Document
160,Baum. Art of Decorating  p. 99,,Motion Picture Set Design,Historiography,Image
471,Baum: Window,,,Historiography,Image
101,Bess Meredyth,,Women Film Pioneers,Historiography,Image
87,Billy Rose & Cecil B. DeMille,,Women Film Pioneers,Historiography,Image
328,Bonus March Excerpt 1 - Workers Gassed,1932,Documentary Tradition,Documentary Tradition,Video
327,Borinage Excerpt 1- Protest,1933,Documentary Tradition,Documentary Tradition,Video
333,Borinage Excerpt 2- Protest,1933,Documentary Tradition,Documentary Tradition,Video
330,Borinage Excerpt 3- Protest,1933,Documentary Tradition,Documentary Tradition,Video
367,Brian Winston Select 1,2010,,,Video
368,Brian Winston Select 2,2010,,,Video
369,Brian Winston Select 3,2010,,,Video
370,Brian Winston Select 4,2010,,,Video
365,Buzz Alexander Select 1,2002,,,Video
371,Buzz Alexander Select 2,2002,,,Video
372,Buzz Alexander Select 3,2002,,,Video
373,Buzz Alexander Select 4,2002,,,Video
374,Buzz Alexander Select 5,2002,,,Video
375,Buzz Alexander Select 6,2002,,,Video
376,Buzz Alexander Select 7,2002,,,Video
124,Cecil B DeMille Article A-23 (1 of 3),,Women Film Pioneers,Historiography,Document
125,Cecil B DeMille Article A-23 (2 of 3),,Women Film Pioneers,Historiography,Document
126,Cecil B DeMille Article A-23 (3 of 3),,Women Film Pioneers,Historiography,Document
127,Cecil B DeMille letter (1 of 2),1918,Women Film Pioneers,Historiography,Document
128,Cecil B DeMille letter (2 of 2),1918,Women Film Pioneers,Historiography,Document
129,Cecil B DeMille three letters (1 of 6),1933,Women Film Pioneers,Historiography,Document
130,Cecil B DeMille three letters (2 of 6),1933,Women Film Pioneers,Historiography,Document
