Node ID,Title,Body,Year,Category,Course,Date,Repository,Collection,Source,Copyright,Production Company,Copyright Notes,Film Title,Director,Photographer,Form/Genre,Location,Physical Description,Notes,Embedded Video: media (field_media)
366,Albert Maysles Select 1,Year:هت2005Collection:هتLumiere Productions  Copyright:هت2010 Copyright Notes:هتLumiere Productions Film Title:هتTo Tell The TruthDirector:هتLumiere Productions  Physical Description:هتOn the power of documentary film.  media:هت,2005,,,2005,,Lumiere Productions,,2010,,Lumiere Productions,To Tell The Truth,Lumiere Productions,,,,On the power of documentary film.,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_to_tell_the_truth_albert_mayles_select_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_1&autostart=false&protection=098474d25f97e575931d250717b0d43b21ecbc93""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
328,Bonus March Excerpt 1 - Workers Gassed,Year:هت1932Collection:هتLumiere Productions  Copyright:هت1932 Copyright Notes:هتLeo Seltzer Film Title:هتBonus MarchDirector:هتWorkers Film and Photo League (Leo Seltzer)  Physical Description:هتWorkers Gassed  media:هت,1932,Documentary Tradition,Documentary Tradition,1932,,Lumiere Productions,,1932,,Leo Seltzer,Bonus March,Workers Film and Photo League (Leo Seltzer),,,,Workers Gassed,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_bonus_march_excerpt_1_workers_gassed.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_3&autostart=false&protection=a03377cb01c04f7b44b97a0bb6fa3580ed2edb39""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
327,Borinage Excerpt 1- Protest,Year:هت1933Collection:هتLumiere Productions  Copyright:هت2008 Copyright Notes:هتEuropean Foundation - Joris Ivens Film Title:هتBorinageDirector:هتJoris Evens/Henri Storck  Physical Description:هتProtest  media:هت,1933,Documentary Tradition,Documentary Tradition,1933,,Lumiere Productions,,2008,,European Foundation - Joris Ivens,Borinage,Joris Evens/Henri Storck,,,,Protest,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_borinage_1_protest.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_5&autostart=false&protection=13c44bb612e8cf32c70bf4462dedf7f12567ee09""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
333,Borinage Excerpt 2- Protest,Year:هت1933Collection:هتLumiere Productions  Copyright:هت2008 Copyright Notes:هتEuropean Foundation/Joris Evens Film Title:هتBorinageDirector:هتJoris Evens/Henri Storck  Physical Description:هتDr. visits family  media:هت,1933,Documentary Tradition,Documentary Tradition,1933,,Lumiere Productions,,2008,,European Foundation/Joris Evens,Borinage,Joris Evens/Henri Storck,,,,Dr. visits family,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_borinage_2_doc_visits_family.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_7&autostart=false&protection=e147ad17bcc011f4ebbe54f1e4303a2690bda3d1""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
330,Borinage Excerpt 3- Protest,Year:هت1933Collection:هتLumiere Productions  Copyright:هت2008 Copyright Notes:هتEuropean Foundation - Joris Ivens Director:هتJoris Evens/Henri Storck  Physical Description:هتSocialism  media:هت,1933,Documentary Tradition,Documentary Tradition,1933,,Lumiere Productions,,2008,,European Foundation - Joris Ivens,,Joris Evens/Henri Storck,,,,Socialism,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_borinage_3_socialism.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_9&autostart=false&protection=46b236a99c8e7a42cacfe96927b7d2ab947b4509""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
367,Brian Winston Select 1,Year:هت2010Collection:هتLumiere Productions  Copyright:هت2010 Copyright Notes:هتLumiere Productions Film Title:هتTo Tell The TruthDirector:هتLumiere Productions  Physical Description:هتGrierson was pretending to give us the truth.  media:هت,2010,,,2010,,Lumiere Productions,,2010,,Lumiere Productions,To Tell The Truth,Lumiere Productions,,,,Grierson was pretending to give us the truth.,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_to_tell_the_truth_brian_winston_select_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_11&autostart=false&protection=a72f4f49a3c953a7118d61f4879c245ae0c06fa3""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
368,Brian Winston Select 2,Year:هت2010Collection:هتLumiere Productions  Copyright:هت2010 Copyright Notes:هتLumiere Productions Film Title:هتTo Tell The TruthDirector:هتLumiere Productions  Physical Description:هتGrierson did a terrible job putting the working class on the screen.  media:هت,2010,,,2010,,Lumiere Productions,,2010,,Lumiere Productions,To Tell The Truth,Lumiere Productions,,,,Grierson did a terrible job putting the working class on the screen.,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_to_tell_the_truth_brian_winston_select_2.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_13&autostart=false&protection=57f8025c37df66382f56249a85075766aa20b229""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
369,Brian Winston Select 3,Year:هت2010Collection:هتLumiere Productions  Copyright:هت2010 Copyright Notes:هتLumiere Productions Film Title:هتTo Tell The TruthDirector:هتLumiere Productions  Physical Description:هتNight Mail was done with such aplomb that it was a fascinating picture of something everybody knew about but didn't actually know about.   media:هت,2010,,,2010,,Lumiere Productions,,2010,,Lumiere Productions,To Tell The Truth,Lumiere Productions,,,,Night Mail was done with such aplomb that it was a fascinating picture of something everybody knew about but didn't actually know about.,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_to_tell_the_truth_brian_winston_select_3.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_15&autostart=false&protection=6c59c038f396f3ad9482895f0ee5c884cd7a0b97""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
370,Brian Winston Select 4,Year:هت2010Collection:هتLumiere Productions  Copyright:هت2010 Copyright Notes:هتLumiere Productions Film Title:هتTo Tell The TruthDirector:هتLumiere Productions  Physical Description:هتThe responses  on film  to the depression in Britain and the U.S. were very much the same.  media:هت,2010,,,2010,,Lumiere Productions,,2010,,Lumiere Productions,To Tell The Truth,Lumiere Productions,,,,The responses  on film  to the depression in Britain and the U.S. were very much the same.,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_to_tell_the_truth_brian_winston_select_4.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_17&autostart=false&protection=676b9a8ba3f5221af1f72ffd4570920add868762""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
365,Buzz Alexander Select 1,Year:هت2002Collection:هتLumiere Productions  Copyright:هت2010 Copyright Notes:هتLumiere Productions Film Title:هتTo Tell The TruthDirector:هتLumiere Productions  Physical Description:هتThe Idealism of the FPL  media:هت,2002,,,2002,,Lumiere Productions,,2010,,Lumiere Productions,To Tell The Truth,Lumiere Productions,,,,The Idealism of the FPL,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_to_tell_the_truth_buzz_alexander_select_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_19&autostart=false&protection=55eda585a3bbc31c4454cea197c0b1bed14d8f01""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
