Node ID	Title	Body	Year	Category	Course	DateCreated	Repository	Collection	Source	Copyright	Production Company	Copyright Notes	Film Title	Director	Photographer	Form/Genre	Location	Physical Description	Notes	File path	File id	File: Name	All Files	Image: Display Image
120	2 letters from Brakhage to Vogel (1 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957																		
121	2 letters from Brakhage to Vogel (2 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters2.thumbnail.jpg	100	thumbnail	thumbnail | _original | preview	
121	2 letters from Brakhage to Vogel (2 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters2.jpg	99	_original	thumbnail | _original | preview	
121	2 letters from Brakhage to Vogel (2 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters2.preview.jpg	101	preview	thumbnail | _original | preview	
122	2 letters from Brakhage to Vogel (3 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters3.preview.jpg	104	preview	preview | thumbnail | _original	
122	2 letters from Brakhage to Vogel (3 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters3.thumbnail.jpg	103	thumbnail	preview | thumbnail | _original	
122	2 letters from Brakhage to Vogel (3 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters3.jpg	102	_original	preview | thumbnail | _original	
123	2 letters from Brakhage to Vogel (4 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters4.thumbnail.jpg	106	thumbnail	thumbnail | _original | preview	
123	2 letters from Brakhage to Vogel (4 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters4.jpg	105	_original	thumbnail | _original | preview	
123	2 letters from Brakhage to Vogel (4 of 4)	Year:هت1957	1957	Avant-Garde Historiography	Historiography	1957														sites/files/gainesfilm/images/vogel-brakhage_letters4.preview.jpg	107	preview	thumbnail | _original | preview	
416	A Note From Cinema 16	Source:هتBox 6  Folder 1Repository:هتRare Book and Manuscript Library  Columbia UniversityCollection:هتAmos Vogel Papers Notes:هتVisible Evidence			Documentary Tradition		Rare Book and Manuscript Library  Columbia University	Amos Vogel Papers	Box 6  Folder 1										Visible Evidence					
415	Agnes Varda	Source:هتBox 135  Agnes VardaRepository:هتRare Book and Manuscript Library  Columbia UniversityCollection:هتAmos Vogel Papers Year:هت1950SNotes:هتVisible Evidence	1950S		Documentary Tradition	1950S	Rare Book and Manuscript Library  Columbia University	Amos Vogel Papers	Box 135  Agnes Varda										Visible Evidence					
414	Agnes Varda	Source:هتBox 135  Agnes VardaRepository:هتRare Book and Manuscript Library  Columbia UniversityCollection:هتAmos Vogel Papers Year:هت1950sNotes:هتVisible Evidence	1950s		Documentary Tradition	1950s	Rare Book and Manuscript Library  Columbia University	Amos Vogel Papers	Box 135  Agnes Varda										Visible Evidence					
