fid	nid	filename	filepath	filemime	filesize
99	121	_original	sites/files/gainesfilm/images/vogel-brakhage_letters2.jpg	image/jpeg	1205279
102	122	_original	sites/files/gainesfilm/images/vogel-brakhage_letters3.jpg	image/jpeg	631493
105	123	_original	sites/files/gainesfilm/images/vogel-brakhage_letters4.jpg	image/jpeg	1098577
5	20	_original	sites/files/gainesfilm/images/cinema_16_invitations.jpg	image/jpeg	813720
767	20	preview	sites/files/gainesfilm/images/cinema_16_invitations.preview.jpg	image/jpeg	45558
766	20	thumbnail	sites/files/gainesfilm/images/cinema_16_invitations.thumbnail.jpg	image/jpeg	2535
8	21	_original	sites/files/gainesfilm/images/vogel_program_announcement.jpg	image/jpeg	806459
177	21	preview	sites/files/gainesfilm/images/vogel_program_announcement.preview.jpg	image/jpeg	50801
176	21	thumbnail	sites/files/gainesfilm/images/vogel_program_announcement.thumbnail.jpg	image/jpeg	2304
11	25	_original	sites/files/gainesfilm/images/cinema_16_dist_catalo1.jpg	image/jpeg	679081
617	25	preview	sites/files/gainesfilm/images/cinema_16_dist_catalo1.preview.jpg	image/jpeg	30020
616	25	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalo1.thumbnail.jpg	image/jpeg	2222
14	26	_original	sites/files/gainesfilm/images/cinema_16_dist_catalo2.jpg	image/jpeg	677531
619	26	preview	sites/files/gainesfilm/images/cinema_16_dist_catalo2.preview.jpg	image/jpeg	36303
618	26	thumbnail	sites/files/gainesfilm/images/cinema_16_dist_catalo2.thumbnail.jpg	image/jpeg	2544
17	49	_original	sites/files/gainesfilm/images/gmaciunas-manifesto.jpg	image/jpeg	235632
711	49	preview	sites/files/gainesfilm/images/gmaciunas-manifesto.preview.jpg	image/jpeg	64818
710	49	thumbnail	sites/files/gainesfilm/images/gmaciunas-manifesto.thumbnail.jpg	image/jpeg	2781
41	97	_original	sites/files/gainesfilm/images/leonard.jpg	image/jpeg	55939
22	85	_original	sites/files/gainesfilm/images/arzner.jpg	image/jpeg	32551
